id,url_title,date,product_title,currency,product_price
2,https://www.amazon.com/s?k=laptop&page=2,20251203,"AOC Laptop 15.6"" Full HD IPS Display Laptop Computer with N95 Processor, Work Laptops 16GB RAM 512GB SSD Windows 11 Laptop Business Computer Light&Thin, Metal Shell, Webcam, Type-C, USB 3.2",$,379.0
2,https://www.amazon.com/s?k=laptop&page=2,20251203,"AOC Laptop Computer with N95 Processor(Up to 3.4GHz) 16GB RAM 512GB SSD Laptop, 15.6 Inch FHD Screen Laptops Windows 11 Laptop Computer, Light&Thin, Metal Shell, Webcam, Type-C, USB3.2, Grey",$,389.0
2,https://www.amazon.com/s?k=laptop&page=2,20251203,"ASUS ROG Strix G16 (2025) Gaming Laptop, 16” FHD+ 16:10 165Hz/3ms Display, NVIDIA® GeForce RTX™ 5060 Laptop GPU, Intel® Core™ i7 Processor 14650HX, 16GB DDR5, 1TB Gen 4 SSD, Wi-Fi 7, Windows 11 Home",$,"1,249.99"
2,https://www.amazon.com/s?k=laptop&page=2,20251203,"Acer Nitro V Gaming Laptop | Intel Core i5-13420H Processor | NVIDIA GeForce RTX 4050 Laptop GPU | 15.6"" FHD IPS 165Hz Display | 8GB DDR5 | 512GB Gen 4 SSD | Wi-Fi 6 | Backlit KB | ANV15-52-586Z",$,749.0
2,https://www.amazon.com/s?k=laptop&page=2,20251203,"Acer Nitro V Gaming Laptop | Intel Core i7-13620H Processor | NVIDIA GeForce RTX 4050 Laptop GPU | 15.6"" FHD IPS 165Hz Display | 16GB DDR5 | 1TB Gen 4 SSD | Wi-Fi 6 | Backlit KB | ANV15-52-76NK",$,949.0
2,https://www.amazon.com/s?k=laptop&page=2,20251203,"Dell 15 Laptop DC15250-15.6-inch FHD (1920x1080) 120Hz Display, Intel Core i5-1334U Processor, 16GB DDR4 RAM, 512GB SSD, Intel UHD Graphics, Windows 11 Home, Onsite Service - Platinum Silver",$,549.0
2,https://www.amazon.com/s?k=laptop&page=2,20251203,"Gaming Laptop, Laptop 2025 Laptop, ΑΜD Ryzen 5 7430U,15.6-in IPS 16GB RAM 512GB NVMe SSD, WiFi 6, Numeric Keypad, Home Laptops Office Laptops, HDMI Type-C USB3.2 Webcam 3.5mm Audio",$,399.0
2,https://www.amazon.com/s?k=laptop&page=2,20251203,"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",$,164.0
2,https://www.amazon.com/s?k=laptop&page=2,20251203,"HP 15.6 inch Laptop Computer, 2025/2026 Edition, Intel High-Performance 4 cores N100 CPU, 16GB RAM, 512GB SSD, Long Battery Life, Ultra-Quiet Design, Windows 11 Pro with Microsoft Office",$,319.99
2,https://www.amazon.com/s?k=laptop&page=2,20251203,"HP 17 Business Laptop 2025/2026 Edition, 17.3"" FHD IPS Display, AMD 7000 Series Ryzen Processor (Beats Intel i7-1355U), Copilot Key, 16GB RAM, 512GB SSD, HDMI, Wi-Fi 6, Windows 11, WOWPC USB",$,469.99
2,https://www.amazon.com/s?k=laptop&page=2,20251203,"HP Pavilion 15.6"" Laptop | 13th Gen Intel Core i3 Processor | 16GB DDR4 RAM | 640GB Storage (128GB PCIe SSD + 512GB External) | AI-Enhanced Windows 11 | Privacy Webcam | Up to 11.5 Hrs Battery",$,399.99
2,https://www.amazon.com/s?k=laptop&page=2,20251203,"HP Ultra Slim Laptop for Students and Business | 1 Year Office 365 | 1.1TB Storage (1TB Cloud and 64GB Hard Drive) | Intel Quad-Core, 8GB RAM | Windows 11 Home w/o Earbuds",$,270.0
2,https://www.amazon.com/s?k=laptop&page=2,20251203,"Laptop Computer, 16GB RAM 256GB SSD Laptops, 6500Y Processor (up to 3.4GHz), 15.6"" FHD IPS Display, Laptop for Student and Business, WiFi 5, BT 5.0, Sliver",$,239.0
2,https://www.amazon.com/s?k=laptop&page=2,20251203,"Laptop with AMD Ryzen 7430U Processor (UP to 4.3GHZ,6C/12T),16GB DDR4 RAM 512GB SSD,AMD Radeon Graphics,Windows 11 Computer ,WiFi 6,15.6 Inch Full HD IPS Display,2025 Laptops for Work Business Student",$,437.0
2,https://www.amazon.com/s?k=laptop&page=2,20251203,"Laptop, Ιntel N150 Processor (Up to 3.6GHz), 16GB RAM 512GB NVMe SSD, 15.6"" FHD Display Laptop Computer, Home/Business/Student Laptop, Metal Shell, USB3.2, HDMI",$,369.0
2,https://www.amazon.com/s?k=laptop&page=2,20251203,"Lenovo 2026 New Generation V15 Business Laptop with Microsoft Office | 15.6"" FHD Display | Intel High-Performance CPU | 16GB RAM | 512GB SSD | Ultra-Quiet Design | Long Battery Life | Windows 11 Pro",$,318.99
2,https://www.amazon.com/s?k=laptop&page=2,20251203,"Lenovo IdeaPad 1 Student Laptop, 15.6"" FHD Display, Intel Dual Core Processor, 12GB RAM, 512GB SSD + 128GB eMMC, 1 Year Office 365, Wi-Fi 6, Webcam, Bluetooth, SD Card Reader, Windows 11 Home, Grey",$,359.0
2,https://www.amazon.com/s?k=laptop&page=2,20251203,"Lenovo Premium Series 15.6"" IdeaPad Laptop | 12GB RAM | 256GB PCIe SSD | 1 Year Office 365 w/ 1TB Cloud Storage | Ready for Business & Academics | Intel Core | Wi-Fi 6 | Windows 11",$,699.99
2,https://www.amazon.com/s?k=laptop&page=2,20251203,Lenovo V15 Business Laptop | 2025/2026 Edition | Intel Pentium 4-Core Series Processor | 15.6 FHD Screen (1920 x 1080) | 16GB RAM | 512GB PCIe SSD | Ethernet RJ-45 | WiFi-6 | Windows 11 Pro,$,699.99
2,https://www.amazon.com/s?k=laptop&page=2,20251203,"SGIN 15.6 Inch Laptop Computer, Win 11 Laptops with 16GB RAM 1024GB SSD, Core i3 CPU(Up to 3.9GHz), Backlit Keyboard, 53.2WH Battery, WiFi 6, IPS FHD Display, 180° Viewing, HDMI, Type-C",$,284.0
2,https://www.amazon.com/s?k=laptop&page=2,20251203,"laptop 16-inch , 8GB DDR 256GB SSD portable laptop computer, expandable to 1TB, Pentium quad-core CPU up to 2.64 GHz, 9000mAh battery, interface, USB3.0 interface, dual-band WiFi, webcam, slim laptops",$,199.0
